epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,9145.44,0.74436,0.30781,0.00219,0.94733,0.92071,0.95943,0.79812,0.74467,0.34328,0.00322,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9257.25,0.74158,0.30687,0.00218,0.9193,0.93966,0.95552,0.79105,0.74456,0.34892,0.00317,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9369.08,0.74452,0.30719,0.00215,0.94002,0.92915,0.95722,0.79378,0.74053,0.34534,0.0032,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9472.39,0.72893,0.30307,0.00214,0.93478,0.93234,0.95136,0.78958,0.74676,0.3497,0.00322,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,9578.05,0.72301,0.30318,0.00218,0.92508,0.9381,0.95532,0.79129,0.74344,0.35961,0.00321,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,9680.46,0.71821,0.29408,0.0021,0.91711,0.94764,0.95381,0.78931,0.73242,0.36102,0.00313,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,9782.81,0.72166,0.29128,0.00209,0.93041,0.93548,0.9548,0.79023,0.73658,0.35657,0.00314,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,9884.41,0.72516,0.29224,0.00209,0.93875,0.9264,0.95163,0.78645,0.73924,0.36046,0.00312,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,9985.03,0.72032,0.2921,0.00209,0.93336,0.93811,0.95443,0.78903,0.74484,0.35472,0.00316,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,10087.2,0.7093,0.2895,0.00205,0.94183,0.92313,0.95403,0.78643,0.74877,0.35655,0.00318,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,10182.5,0.70493,0.28683,0.00204,0.93662,0.94005,0.95351,0.78634,0.74947,0.35736,0.00317,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,10330.2,0.64208,0.25039,0.00204,0.93747,0.93591,0.95255,0.78392,0.75154,0.36218,0.00322,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,10440.7,0.62642,0.24371,0.00197,0.92662,0.94896,0.95375,0.78383,0.75252,0.35421,0.00324,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,10554.6,0.61453,0.23462,0.00192,0.92455,0.93911,0.95266,0.78534,0.75228,0.35701,0.00324,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,10672.9,0.60661,0.23512,0.00189,0.92907,0.94086,0.95229,0.79052,0.74458,0.35515,0.00321,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,10790.2,0.60196,0.22812,0.00184,0.9225,0.93621,0.95233,0.78895,0.74337,0.35867,0.00319,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,10909.8,0.60039,0.2314,0.00183,0.919,0.94957,0.95332,0.78723,0.74751,0.35997,0.00321,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,11027.7,0.59579,0.22507,0.00182,0.93421,0.93825,0.95368,0.78736,0.74919,0.3575,0.00324,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,11145.6,0.59106,0.22756,0.00179,0.93122,0.94158,0.95298,0.78629,0.7443,0.36551,0.00319,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,11263.5,0.58714,0.22233,0.00179,0.9341,0.93918,0.95317,0.78632,0.74157,0.36296,0.00318,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,11380.4,0.58126,0.21816,0.00176,0.94379,0.94015,0.9549,0.78617,0.74123,0.35957,0.00318,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
